Noise Percentage,Accuracy
0,0.9970731707317073
5,0.9960975609756098
10,0.9824390243902439
15,0.9736585365853658
20,0.9365853658536586
25,0.9073170731707317
30,0.8907317073170732
35,0.8790243902439024
40,0.8546341463414634
45,0.8507317073170731
50,0.8097560975609757
55,0.8214634146341463
60,0.7892682926829269
65,0.7804878048780488
70,0.7892682926829269
75,0.7502439024390244
80,0.7609756097560976
85,0.7648780487804878
90,0.7473170731707317
95,0.7502439024390244
100,0.735609756097561
